PUNTO,COMUNA,AÑO,MES,SEMANA,VIDRIO,PAPEL_Y_CARTON,METAL,PLASTICO_PET,TELGOPOR,PLASTICOS_TODOS_LOS_DEMAS,TETRA_BRICK,PEQUENIOS_ELECTRODOMESTICOS,APARATOS_ELECTRONICOS_EN_DESUSO,AVUS
ESTACION VILLA SOLDATI,COMUNA 8,2015,ABRIL,1,31.2,20.7,0.27, ,0,13.41,0, , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,ABRIL,2,2.231,44.878,0, ,0,37.886,0.54, , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,ABRIL,3,38.042,27.763,1.067, ,0,17.57,0, , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,ABRIL,4,28.42,37.64,1.48, ,0,12.02,0, , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,ABRIL,5,12.33,21.51,0, ,0,4.36,0, , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,AGOSTO,1,12.785,22.496,0,0,0,5.418,0, , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,AGOSTO,2, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,AGOSTO,3,9.456,13.659,0,0,0,3.741,0, , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,AGOSTO,4,9.451,16.871,1.496,0,0,9.743,0, , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,AGOSTO,5,11.745,19.421,0,0,0,5.741,0.421, , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,DICIEMBRE,1, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,DICIEMBRE,2, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,DICIEMBRE,3, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,DICIEMBRE,4, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,DICIEMBRE,5, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,ENERO,1,50.19,21.12,0.99, ,0,10.28, , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,ENERO,2,75.58,28.33,0.72, ,3.74,19.46, , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,ENERO,3,27.11,21.35,3.73, ,0.57,29.13, , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,ENERO,4,33.32,15.98,0, ,0,15.29, , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,ENERO,5,18.14,11.53,1.32, ,0,10.11, , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,FEBRERO,1,12.63,16.79,0, ,0,9.22, , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,FEBRERO,2,93.82,44.92,3.38, ,3.77,27.75, , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,FEBRERO,3,89.59,24.12,2.77, ,1.54,15.82, , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,FEBRERO,4,39.61,9.74,0, ,0,10.73, , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,JULIO,1,10.758,6.12,0,0,0,16,0, , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,JULIO,2, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,JULIO,3,18.56,29.459,0,0,0,16,0.789, , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,JULIO,4,19.46,22.43,1.32,0,0,19.46,0, , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,JUNIO,1,42.42,23.415,0,0,0,19.458,0, , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,JUNIO,2,29.458,38.451,0.87,0,0,8.746,0, , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,JUNIO,3,20.74,18,0,0,0,11.789,0, , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,JUNIO,4,16.895,9.413,0,0,0,6.32,0, , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,JUNIO,5, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,MARZO,1,101.12,29.81,1.26, ,1.81,14.5, , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,MARZO,2,40.3,22.98,2.46, ,0,26.46, , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,MARZO,3,33.82,32.92,3.38, ,3.77,22.75, , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,MARZO,4,34.24,31.14,3.71, ,1.2,17.08, , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,MAYO,1,23.8,23.5,0.84,0,0,14.874,0, , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,MAYO,2,42.41,36.745,0,0,0,21.251,0, , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,MAYO,3,34,28.515,0.874,0,0,25.741,0, , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,MAYO,4,38.45,48.412,1.41,0,0,29.415,0, , , 
