NOMBRE_PUNTO,COMUNA,AÑO,MES,SEMANA,VISITAS
SAN MARTIN,COMUNA 1,2015,ENERO,01/01 - 04/01,46
MUJERES ARGENTINAS,COMUNA 1,2015,ENERO,01/01 - 04/01,12
VERA PEÑALOZA,COMUNA 1,2015,ENERO,01/01 - 04/01,48
MITRE,COMUNA 2,2015,ENERO,01/01 - 04/01,15
MONSEÑOR DE ANDREA,COMUNA 2,2015,ENERO,01/01 - 04/01,85
1RO DE MAYO,COMUNA 3,2015,ENERO,01/01 - 04/01,59
VELAZCO IBARRA,COMUNA 3,2015,ENERO,01/01 - 04/01,0
COLOMBIA,COMUNA 4,2015,ENERO,01/01 - 04/01,101
PARQUE PATRICIOS,COMUNA 4,2015,ENERO,01/01 - 04/01,59
BOEDO,COMUNA 5,2015,ENERO,01/01 - 04/01,104
ALMAGRO,COMUNA 5,2015,ENERO,01/01 - 04/01,78
PARQUE RIVADAVIA,COMUNA 6,2015,ENERO,01/01 - 04/01,137
PARQUE CENTENARIO,COMUNA 6,2015,ENERO,01/01 - 04/01,252
PARQUE CHACABUCO,COMUNA 7,2015,ENERO,01/01 - 04/01,61
PUEYRREDON,COMUNA 7,2015,ENERO,01/01 - 04/01,132
SOLDATI,COMUNA 8,2015,ENERO,01/01 - 04/01,11
SUDAMERICA,COMUNA 8,2015,ENERO,01/01 - 04/01,14
PARQUE AVELLANEDA,COMUNA 9,2015,ENERO,01/01 - 04/01,50
PARQUE SANTOJANNI,COMUNA 9,2015,ENERO,01/01 - 04/01,28
VELEZ SARFIELD,COMUNA 10,2015,ENERO,01/01 - 04/01,116
DON BOSCO,COMUNA 10,2015,ENERO,01/01 - 04/01,99
ARISTOBULO DEL VALLE,COMUNA 11,2015,ENERO,01/01 - 04/01,39
ARENALES,COMUNA 11,2015,ENERO,01/01 - 04/01,197
ALEM,COMUNA 12,2015,ENERO,01/01 - 04/01,71
PARQUE SAAVEDRA,COMUNA 12,2015,ENERO,01/01 - 04/01,98
MANUEL BELGRANO,COMUNA 13,2015,ENERO,01/01 - 04/01,39
BALCARCE,COMUNA 13,2015,ENERO,01/01 - 04/01,102
PALERMO VIEJO,COMUNA 14,2015,ENERO,01/01 - 04/01,51
CASTELLI,COMUNA 13,2015,ENERO,01/01 - 04/01,14
